epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.215,0.59331,2.68303,1.27114,0.00384,1,0.38628,0.34158,0.55146,3.64247,0.85824,0.000467512,0.000467512,0.000467512
2,146.424,0.54986,1.96023,1.23263,0.20594,0.43552,0.22727,0.10003,1.1325,3.51541,1.31937,0.000897125,0.000897125,0.000897125
3,227.966,0.52411,1.77048,1.20134,0.21307,0.75583,0.2362,0.08343,1.78481,3.49686,1.92539,0.00127958,0.00127958,0.00127958
4,312.08,0.49474,1.68103,1.18922,0.22204,0.57837,0.30027,0.23137,0.88845,2.71473,1.19109,0.00121679,0.00121679,0.00121679
5,402.168,0.47232,1.56298,1.1888,0.18567,0.69048,0.26539,0.15091,0.76379,2.59746,1.17074,0.00114606,0.00114606,0.00114606
6,498.951,0.44969,1.50924,1.18198,0.30936,0.90129,0.39806,0.30074,0.77933,1.88502,0.98869,0.00107532,0.00107532,0.00107532
7,594.793,0.42777,1.46914,1.16603,0.30807,0.76091,0.33848,0.30183,0.38947,1.76994,0.61778,0.00100459,0.00100459,0.00100459
8,696.714,0.42259,1.43966,1.1509,0.3456,0.89946,0.42089,0.39101,0.4827,1.68567,0.73175,0.000933851,0.000933851,0.000933851
9,817.775,0.37529,1.41623,1.13541,0.28603,0.32887,0.16602,0.1407,0.48092,1.68148,0.77932,0.000863116,0.000863116,0.000863116
10,957.713,0.37334,1.35857,1.12575,0.32741,0.39335,0.20098,0.17971,0.50643,1.68282,0.72062,0.00079238,0.00079238,0.00079238
11,1081.48,0.41392,1.64394,1.26442,0.34154,0.75843,0.38553,0.35113,0.45204,1.76838,0.68976,0.000721645,0.000721645,0.000721645
12,1257.66,0.35916,1.48674,1.23284,0.34145,0.63393,0.29362,0.2572,0.40097,1.66393,0.63388,0.000650909,0.000650909,0.000650909
13,1434.8,0.39069,1.44904,1.24884,0.30304,0.24457,0.15804,0.13895,0.4031,1.98941,0.66019,0.000580174,0.000580174,0.000580174
14,1575.59,0.36474,1.37344,1.22749,0.33387,0.50446,0.25532,0.22898,0.38901,1.40455,0.54813,0.000509438,0.000509438,0.000509438
15,1753.78,0.35155,1.34425,1.20832,0.36521,0.30506,0.1829,0.16684,0.47601,1.43412,0.70593,0.000438703,0.000438703,0.000438703
16,1907.8,0.33513,1.3154,1.20988,0.33695,0.29464,0.14499,0.12971,0.49288,1.514,0.71313,0.000367967,0.000367967,0.000367967
17,2079.56,0.33162,1.31694,1.19002,0.42397,0.2619,0.16104,0.13816,0.48492,1.48375,0.70449,0.000297232,0.000297232,0.000297232
18,2289.71,0.30991,1.2571,1.16791,0.34,0.187,0.10927,0.08895,0.54171,1.54113,0.70835,0.000226497,0.000226497,0.000226497
19,2632.96,0.30352,1.22683,1.1455,0.33242,0.21654,0.11147,0.10453,0.39471,1.27612,0.63852,0.000155761,0.000155761,0.000155761
20,2903.28,0.29707,1.19319,1.16203,0.3153,0.24454,0.1323,0.12454,0.36809,1.28833,0.59458,8.50255e-05,8.50255e-05,8.50255e-05
